수집일자,게임명,영상ID,영상제목,영상설명,게시일,채널ID,채널명,태그,카테고리ID,썸네일URL,defaultLanguage,duration,영상길이(초),영상길이(표시),dimension,definition,caption,licensedContent,privacyStatus,madeForKids,viewCount,likeCount,commentCount,구독자수,채널총조회수,채널업로드영상수,채널개설일,자막유형
2025-06-02,롤,Gsuyg_bEujA,'감코 3명 vs 선수 5명' 참교육 가겠습니다,"[24.12.26] 방송 영상 입니다.

#클리드 #프레이 #MKSI

클리드 생방송 : https://ch.sooplive.co.kr/xoals137
클리드 공식 팬카페 : https://cafe.naver.com/clidfan
플레이리스트 : https://www.youtube.com/playlist?list=PLqBzbvTw1GI6WnKPUR-tY3ptet0unYs-T",2025-01-01T22:58:49Z,UCyoSQyaCrZHro6F_nBiXIYg,클리드,"클리드, 프레이, 롤, mksi",20,https://i.ytimg.com/vi/Gsuyg_bEujA/hqdefault.jpg,,PT29M44S,1784,29:44,2d,hd,false,True,public,False,617940,4030,571,271000,107939258,341,2024-02-29T04:19:41.185973Z,ko
2025-06-02,롤,_HFKu88hYDY,[LOL] 프레이 트리스타나 : 그만해! 이러다 다 죽어,"* 리그오브레전드 프로게이머 프레이의 공식채널입니다. 
* 유튜브 영상은 공유하기로 퍼가셔도 됩니다.
* 재밌게 보고 많이 퍼 가주세요!  좋아요도 부탁드립니다. !

[ 방송 스트리밍 주소 Stream Link ]
• SOOP ◆ https://ch.sooplive.co.kr/pig2704 [생방송 : 20250101]
• Youtube Channel ◆ https://www.youtube.com/@UCSzHok6X5qXEO7cjvVnE62g 

[프로게이머 닉네임]
우리팀 : Seven(KT Feisty), 0l불 밖은 우l험ぁH(Zephyr), Im noob777(MVKE SanSan)
상대팀 : 1Jiang(UP 1Jiang)",2025-01-02T08:00:21Z,UCSzHok6X5qXEO7cjvVnE62g,프레이 TV,"LOL, 리그오브레전드, 프레이, 프쨩, 프짱, Pray, pray, Longzhu, Kz PraY, King Zone Dragon X, 프레이 트타, 프레이 트리스타나, 챌린저 트리스타나, 프레이 이즈, 프레이 이즈리얼, 프레이 오징어게임, 프레이 칼리, 프레이 루시안, 챌린저 트타, 프레이 can win",20,https://i.ytimg.com/vi/_HFKu88hYDY/hqdefault.jpg,,PT25M49S,1549,25:49,2d,hd,false,True,public,False,80709,460,60,657000,616191324,2328,2017-05-25T07:02:43Z,ko
2025-06-02,롤,nJQK0lZ39ek,가렌 미드 템트리 룬 발분 정복자 -  Garen Mid - 롤 KR 천상계 패치 14.24,"가렌 vs 제드
가렌 템트리, 룬
발걸음 분쇄기 가렌 미드
정복자 가렌 미드

- Summary -
Summoner Name : Fight ForFreedom #人间中毒
Tier : GrandMaster 840 LP
Primary Rune : 정복자
First Core Item : 발걸음 분쇄기
Date : 2025-01-01
Server : kr

- Timeline -
00:05 픽 및 밴
00:10 룬
00:15 능력치
00:26 스킬 빌드 순서
00:32 아이템 빌드 순서
09:43 Kill
10:59 Assist
16:20 Kill
17:38 Assist
18:28 Kill
20:51 Kill & Assist
22:30 결과, 총 데미지,총 골드

#가렌",2025-01-01T13:00:52Z,UCtLV_xA5vD7ep-hL2MkKDag,TOP Player Replay KR,"Garen, Garen 14.24, Garen 2025, Garen Conqueror, Garen Mid, Garen Mid 14.24, Garen Stridebreaker, Garen build, Garen gameplay, Garen guide, Garen lol, Garen rune, Garen vs Zed, challenger replay, top player replay, Гарен, ガレン, 德玛西亚之力, 蓋倫, 가렌, 가렌 vs 제드, 가렌 관전, 가렌 라인전, 가렌 룬, 가렌 미드, 가렌 발걸음 분쇄기, 가렌 정복자, 가렌 템트리, 탑 플레이어 리플레이",20,https://i.ytimg.com/vi/nJQK0lZ39ek/hqdefault.jpg,ko,PT22M40S,1360,22:40,2d,hd,false,True,public,False,50,0,0,32900,10307548,28222,2019-02-15T12:30:30Z,none
2025-06-02,롤,BPPNw1UWlw8,낭만 롤,봉풀~,2025-01-01T20:32:33Z,UCviBgN0ps-JTovQgeqBo0PA,lollife롤랖,"롤, 리그오브레전드, lol, 와이프랑롤, 친구랑롤, 여친이랑롤, 남편이랑롤, 봉풀주, 게임, 인기게임, 고전게임, lollife롤랖, lollife, 롤라이프, 롤랖, 언랭, 아이언, 브론즈",20,https://i.ytimg.com/vi/BPPNw1UWlw8/hqdefault.jpg,,PT1H2M32S,3752,01:02:32,2d,hd,false,False,public,False,8,0,0,44,156422,481,2022-05-26T06:06:35.819321Z,ko
2025-06-02,롤,rV-da32UM7A,샤코 서폿 템트리 룬 악의 유성 -  Shaco Support - 롤 KR 천상계 패치 14.24,"샤코 vs 세라핀
샤코 템트리, 룬
악의 샤코 서폿
신비로운 유성 샤코 서폿

- Summary -
Summoner Name : OneZang #KR99
Tier : GrandMaster 747 LP
Primary Rune : 신비로운 유성
First Core Item : 악의
Date : 2025-01-02
Server : kr

- Timeline -
00:05 픽 및 밴
00:10 룬
00:15 능력치
00:26 스킬 빌드 순서
00:32 아이템 빌드 순서
03:54 Kill
06:57 Assist
09:26 Assist
11:50 Assist
13:31 Kill
18:07 Double Kill & Assist
21:36 Assist
22:37 Assist
23:22 Solo Kill
25:59 Assist
26:42 Assist
27:14 Assist
27:54 Kill & Assist
28:27 Assist
30:23 결과, 총 데미지,총 골드

#샤코",2025-01-02T08:00:39Z,UCtLV_xA5vD7ep-hL2MkKDag,TOP Player Replay KR,"Shaco, Shaco 14.24, Shaco 2025, Shaco Arcane Comet, Shaco Malignance, Shaco Support, Shaco Support 14.24, Shaco build, Shaco gameplay, Shaco guide, Shaco lol, Shaco rune, Shaco vs Seraphine, challenger replay, top player replay, Шако, シャコ, 恶魔小丑, 薩科, 샤코, 샤코 vs 세라핀, 샤코 관전, 샤코 라인전, 샤코 룬, 샤코 서폿, 샤코 신비로운 유성, 샤코 악의, 샤코 템트리, 탑 플레이어 리플레이",20,https://i.ytimg.com/vi/rV-da32UM7A/hqdefault.jpg,ko,PT30M33S,1833,30:33,2d,hd,false,True,public,False,385,2,0,32900,10307548,28222,2019-02-15T12:30:30Z,none
2025-06-02,롤,5ia-1Psa2fE,[롤] 갈리오 크산테 말파이트 탐켄치 그리고 비에고 #155 번째 솔랭,"오늘도 행복한 하루 되시고
구독 좋아요 부탁 드리겠습니다.

시청해주셔서 감사합니다!!!
-------------------------------------------------------------------------------------------------------------------------
마용이 라이브 채널들

매일 오후 2시~

치지직 - https://chzzk.naver.com/9f4276b9e4c71427fafda934383eff93
숲 - https://ch.sooplive.co.kr/rnjsdydgk114

영상 관련해서 문제점이나 수정사항 및 피드백 환영합니다.
-------------------------------------------------------------------------------------------------------------------------
마용이 비지니스 및 피드백 연락 수단

kwoncarlos114kr@gmail.com



#마용이 #롤 #신작게임 #리뷰 #게임리뷰 #모바일게임",2025-01-03T06:00:03Z,UCv9m9GxOREbZ9KGP2rzqtcA,마용이 게임채널,"마용이, 종합게임, 온라인게임, 스팀, 고전게임, 갓겜, 인터넷방송, 인방, 치지직, game, livestreaming, 롤, 리그오브레전드",20,https://i.ytimg.com/vi/5ia-1Psa2fE/hqdefault.jpg,ko,PT43M26S,2606,43:26,2d,hd,false,False,public,False,3,0,0,4,2448,9,2024-12-18T08:22:17.274558Z,ko
2025-06-02,롤,eVPeeSGYaVc,[롤] 시즌말의 망자의갑옷 쉔,"#망자의 갑옷 #top shen

채널 이메일 주소 : kennethkim2001@gmail.com
치지직 생방 링크: https://chzzk.naver.com/2de7e28d7cb9d38c103983e71af72583
동쉔 팬디코방: https://discord.gg/WF9sndEHK8",2025-01-01T12:37:34Z,UCLFAXgUAJYL54sd0l8vq5eA,동쉔 DONGSHEN,"리그오브레전드, 즐겜, 즐겜픽, 동쉔, 테온, LOL, SHEN, 레전드, 쉔장인, 쉔궁, 쉔궁준비됨, lol, League of Legends, League, Legends, Shen, Shen craftsman, Korean, Korean Shen, master, shen, shen master, 판테온서폿, 남진, 남진쉔, 탑쉔, 장인, 롤장인, shan, dongshen, korea shen, korean shen, AD Carry, Bottom, 롤강의, 롤 쉔, 강심, 가갑, 가시갑옷, 강철의심장, 공허한광휘, 공광, 얼건, 얼어붙은건틀릿, 얼어붙은건틀릿쉔, 얼건쉔, 강심쉔, 공광쉔, 쉔1티어, 쉔템트리, 쉔빌드, 쉔트리",20,https://i.ytimg.com/vi/eVPeeSGYaVc/hqdefault.jpg,,PT27M1S,1621,27:01,2d,hd,false,True,public,False,1111,21,16,3290,464217,79,2015-08-10T09:51:24Z,none
2025-06-02,롤,aW-Y0YbvlAc,닐라 원딜 템트리 룬 징수 정복자 -  Nilah Bot - 롤 KR 천상계 패치 14.24,"닐라 vs 바루스
닐라 템트리, 룬
징수의 총 닐라 원딜
정복자 닐라 원딜

- Summary -
Summoner Name : 초코파이 슬레이어 #1003
Tier : GrandMaster 842 LP
Primary Rune : 정복자
First Core Item : 징수의 총
Date : 2025-01-01
Server : kr

- Timeline -
00:05 픽 및 밴
00:10 룬
00:15 능력치
00:26 스킬 빌드 순서
00:32 아이템 빌드 순서
03:34 Double Kill
07:39 Kill
10:25 Double Kill
13:43 Kill
14:28 Kill
17:02 Assist
19:36 Kill
20:44 Kill & Assist
22:59 Kill
25:25 Solo Kill & Kill & Assist
27:24 Kill & Assist
28:37 Kill
28:39 결과, 총 데미지,총 골드

#닐라",2025-01-02T03:00:03Z,UCtLV_xA5vD7ep-hL2MkKDag,TOP Player Replay KR,"Nilah, Nilah 14.24, Nilah 2025, Nilah Bot, Nilah Bot 14.24, Nilah Conqueror, Nilah The Collector, Nilah build, Nilah gameplay, Nilah guide, Nilah lol, Nilah rune, Nilah vs Varus, challenger replay, top player replay, Нила, ニーラ, 不羁之悦, 淣菈, 닐라, 닐라 vs 바루스, 닐라 관전, 닐라 라인전, 닐라 룬, 닐라 원딜, 닐라 정복자, 닐라 징수의 총, 닐라 템트리, 탑 플레이어 리플레이",20,https://i.ytimg.com/vi/aW-Y0YbvlAc/hqdefault.jpg,ko,PT28M49S,1729,28:49,2d,hd,false,True,public,False,261,2,0,32900,10307548,28222,2019-02-15T12:30:30Z,none
2025-06-02,롤,6zWio1M5FDg,【14.24버전】롤 솔랭 탑 뽀삐(대 18번째 갱플랭크) 승리,"[마이크]20250101 플래티넘 4
핵심 룬 결의: (착취의 손아귀 - 보호막 강타 - 뼈 방패 - 소생)
보조 룬 마법: (마나순환 팔찌 - 깨달음)
룬 슬롯: 적응형 능력치x2, 강인함 및 둔화 저항x1
사용한 스킨: 귀염둥이 카페 뽀삐(루비)

치지직 채널: https://chzzk.naver.com/6706b782ced5f0787f75d96d73059ab7",2025-01-02T02:45:00Z,UCf8P-jp6SJ4yMoMNcr6xOrQ,다짱어호,,20,https://i.ytimg.com/vi/6zWio1M5FDg/hqdefault.jpg,,PT40M22S,2422,40:22,2d,hd,false,False,public,False,73,0,0,406,438629,3444,2012-06-27T23:27:41Z,ko
2025-06-02,롤,OZ7RSCf-FI4,렝가 정글 템트리 룬 굶드라 정복자 -  Rengar Jungle - 롤 KR 천상계 패치 14.24,"렝가 vs 니달리
렝가 템트리, 룬
굶주린 히드라 렝가 정글
정복자 렝가 정글

- Summary -
Summoner Name : carpe diem #zypp
Tier : GrandMaster 891 LP
Primary Rune : 정복자
First Core Item : 굶주린 히드라
Date : 2024-12-31
Server : kr

- Timeline -
00:05 픽 및 밴
00:10 룬
00:15 능력치
00:26 스킬 빌드 순서
00:32 아이템 빌드 순서
04:18 Assist
07:11 Double Kill
09:12 Assist
10:27 Kill
16:47 Kill
22:13 Kill & Assist
25:14 Kill
27:12 Kill
28:08 Solo Kill
29:20 Double Kill
33:33 Kill & Assist
33:40 결과, 총 데미지,총 골드

#렝가",2025-01-01T12:00:21Z,UCtLV_xA5vD7ep-hL2MkKDag,TOP Player Replay KR,"Rengar, Rengar 14.24, Rengar 2024, Rengar Conqueror, Rengar Jungle, Rengar Jungle 14.24, Rengar Ravenous Hydra, Rengar build, Rengar gameplay, Rengar guide, Rengar lol, Rengar rune, Rengar vs Nidalee, challenger replay, top player replay, Ренгар, レンガー, 傲之追猎者, 雷葛爾, 렝가, 렝가 vs 니달리, 렝가 관전, 렝가 굶주린 히드라, 렝가 라인전, 렝가 룬, 렝가 정글, 렝가 정복자, 렝가 템트리, 탑 플레이어 리플레이",20,https://i.ytimg.com/vi/OZ7RSCf-FI4/hqdefault.jpg,ko,PT33M50S,2030,33:50,2d,hd,false,True,public,False,602,2,0,32900,10307548,28222,2019-02-15T12:30:30Z,none
2025-06-02,롤,F_kVAqPaSZE,렝가 탑 템트리 룬 굶드라 기발 -  Rengar Top - 롤 KR 천상계 패치 14.24,"렝가 vs 클레드
렝가 템트리, 룬
굶주린 히드라 렝가 탑
기민한 발놀림 렝가 탑

- Summary -
Summoner Name : 렝 화 #렝 화
Tier : Master 561 LP
Primary Rune : 기민한 발놀림
First Core Item : 굶주린 히드라
Date : 2025-01-01
Server : kr

- Timeline -
00:05 픽 및 밴
00:10 룬
00:15 능력치
00:26 스킬 빌드 순서
00:32 아이템 빌드 순서
09:11 Assist
10:33 Assist
12:03 Assist
16:59 Assist
18:51 Assist
20:17 Solo Kill
22:11 Kill & Assist
22:37 결과, 총 데미지,총 골드

#렝가",2025-01-02T02:00:08Z,UCtLV_xA5vD7ep-hL2MkKDag,TOP Player Replay KR,"Rengar, Rengar 14.24, Rengar 2025, Rengar Fleet Footwork, Rengar Ravenous Hydra, Rengar Top, Rengar Top 14.24, Rengar build, Rengar gameplay, Rengar guide, Rengar lol, Rengar rune, Rengar vs Kled, challenger replay, top player replay, Ренгар, レンガー, 傲之追猎者, 雷葛爾, 렝가, 렝가 vs 클레드, 렝가 관전, 렝가 굶주린 히드라, 렝가 기민한 발놀림, 렝가 라인전, 렝가 룬, 렝가 탑, 렝가 템트리, 탑 플레이어 리플레이",20,https://i.ytimg.com/vi/F_kVAqPaSZE/hqdefault.jpg,ko,PT22M47S,1367,22:47,2d,hd,false,True,public,False,448,2,0,32900,10307548,28222,2019-02-15T12:30:30Z,none
2025-06-02,롤,m_JGafq2CWQ,롤에 미친 남자 여기 잠들다...,"비즈니스 문의 : creators@iambrand.co.kr

#리그오브레전드",2025-01-06T03:00:41Z,UCBA9XaL5wCdHnC5EmEzwrqw,튜브김민교,"김민교, 민교, 교튜브, 튜브 김민교",20,https://i.ytimg.com/vi/m_JGafq2CWQ/hqdefault.jpg,,PT33M32S,2012,33:32,2d,hd,false,True,public,False,363738,1957,157,738000,653741221,1767,2018-04-25T18:58:53Z,ko
2025-06-02,롤,ctHpa7UcGiY,[LOL] 프레이 진 : 32살 중에 제일 롤 잘하는 사람,"* 리그오브레전드 프로게이머 프레이의 공식채널입니다. 
* 유튜브 영상은 공유하기로 퍼가셔도 됩니다.
* 재밌게 보고 많이 퍼 가주세요!  좋아요도 부탁드립니다. !

[ 방송 스트리밍 주소 Stream Link ]
• SOOP ◆ https://ch.sooplive.co.kr/pig2704 [생방송 : 20250103]
• Youtube Channel ◆ https://www.youtube.com/@UCSzHok6X5qXEO7cjvVnE62g 

[프로게이머 & 장인 닉네임]
우리팀 : 차가운코끼리(DK Jaehyuk), Hegzzz(OMG Heng), 치지직 백색말(Whitehorse), 죽기장인, HLE 크래커(HLE Antimage)
상대팀 : 86921198del(제라스 장인), 편식당(HLE Pyeonsick), 이스굿(프레이 유튜브 공무원)

[타임라인]
00:00 인트로
00:16 게임 시작
23:08 챌린저 세레머니",2025-01-06T10:00:39Z,UCSzHok6X5qXEO7cjvVnE62g,프레이 TV,"LOL, 리그오브레전드, 프레이, 프쨩, 프짱, Pray, pray, Longzhu, Kz PraY, King Zone Dragon X, 프레이 진, 진 프레이, 진종인, 프레이 챌린저, 프레이 점수, 프레이 케이틀린, 케이틀린 프레이, 신궁, 프레이 신궁, lck, 프레이 폼, 프레이 은퇴, 프레이 실력, 롤드컵 애쉬, 프레이 군대, 프레이 전역, 프레이 마스터, 프레이 그마, 프레이 1000점, 프레이 솔랭, korea challenger, korea challenger ad, korea PraY, korea lol PraY, 프레이 30일 챌린저",20,https://i.ytimg.com/vi/ctHpa7UcGiY/hqdefault.jpg,,PT24M16S,1456,24:16,2d,hd,false,True,public,False,235682,1611,144,657000,616191324,2328,2017-05-25T07:02:43Z,ko
2025-06-02,롤,kYR2Fpb80Fw,[LOL] 서포터가 원딜로 살아남는 방법,"º아프리카 https://bj.afreecatv.com/liok0485
º인스타그램 https://www.instagram.com/qingcha94/
º팬카페 https://cafe.naver.com/liok0485
º메일 suz9405@naver.com
----------------------------------------------------------------------------
편집:키샤이님
썸네일: 사밀님!
-----------------------------------------------------------------------
Outro- pixel pig

그것은 바로 비원딜......",2025-01-06T04:00:32Z,UCZW0yRW2HK7_fzgL9HQu9ZA,순당무,"리그오브레전드, 순당무, 롤랜드, 김민교, 마스터, 원딜러, 원딜",20,https://i.ytimg.com/vi/kYR2Fpb80Fw/hqdefault.jpg,,PT32M56S,1976,32:56,2d,hd,false,True,public,False,83147,734,88,236000,99136129,606,2013-04-16T16:18:04Z,ko
2025-06-02,롤,5a5zRsNKHf8,롤 하다가 갑자기 새해 퍼즈 거는 롤 악귀들ㅋㅋㅋㅋ,비즈니스 문의 : creators@iambrand.co.kr,2025-01-04T11:31:07Z,UCBA9XaL5wCdHnC5EmEzwrqw,튜브김민교,"김민교, 민교, 교튜브, 튜브 김민교, 클템, 롤, 새해, 맛종욱, 임아니, lol, lck",20,https://i.ytimg.com/vi/5a5zRsNKHf8/hqdefault.jpg,,PT30M,1800,30:00,2d,hd,false,True,public,False,326985,1775,133,738000,653741221,1767,2018-04-25T18:58:53Z,none
