channelId,channelTitle
UCw1DsweY9b2AKGjV4kGJP1A,LCK
UCwvk_uRd0w-n0O1I4QRdM0g,롤꺾마
UCooLkG0FfrkPBQsSuC95L6w,리그 오브 레전드
UCCMQyaKDjQJY79VimTdaYYQ,롤박사 해도리
UCfJ9Iwih_Il_lxb_uIOh6zw,롤읽남 LOLNAM
UCGt6h41qCj0i4WR6cYFYrvA,롤사건사고누이
UCN_NQvieqUqfq1gIQF1jzeA,롤 리더
UCQuit9kuTw6BjmgLyogL3mA,롤더남
UCpgahtVkliACuGH-65hXVcA,어쩔롤
UCRIn_SLDrGwbup6DY816bCQ,롤팬더
UCcCzOjiVOtjKqa83iLuOMdg,롤 탐구생활(전지적 게임 시점)
UCN4Nq34wD_LldRGi-q4So3Q,롤창코
UCzGblRaF5unKKz10hACKGDg,아리tv-롤정보통
UC1K3xLtg0kG7vQXPuvZd28Q,롤카페
UCicad9pMG7HSg_JXqK0Mjqg,포로롤
UCRoDQ1HzA04fokSU8bxgJZQ,롤 체크
UCV7WE8I_UiAN0fa6Arezx_w,롤 관전 매니저
UCVVGZJ8kjiPIwYUyOvaLhMg,롤 사관학교
UCv5zmkw_dcfTCzO4eBNEzTA,"협곡 전문의, 롤 닥터"
UChh3Kd47CLiIjKzI_srZIKg,이샤우트 - 롤 멘토
UCnhWJQNxCY6V12qZcpBwFlg,롤잇슈
UCvnFC-va-ClX9nlvrQW9piw,롤스테이지
UCxGvB3ikKPBBZPT-IakiaHQ,말랑이
UCYhkWfrxKgScIlOmzFrk3Ng,롤대남
UCv9eVX1AMO3VZtl7FC8BALQ,롤잇지
UCIag8EyO8KIhomGZy9tgzkg,롤가형
UCJKK2MJ5RPTE_GDurRcc-WA,1분만에보는롤
UCiN3B0QRdL4wn1TMJ_cJyMQ,LoL Esports JP
UC5fecWupjY797kkfJPAAMew,트루롤 쇼
UCVr4_SSiS074vm1D5gKANuQ,롤 관전소
UCzAypSoOFKCZUts3ULtVT_g,LoL Esports VODs and Highlights
UCgkfwCLpJ3vQxCuU2HqYA2g,롤실록
UC1t-vzAacQ4OiMLt5h7Flug,찰리의 롤튜브
UCeSEqp2WqkFcPsfjev0pLLA,롤 아카데미
UCNHRPukikhtAwJIADD87Mog,롤린이 설랭구
UCB4dMsjJ6yIGsA1biJVeofw,빈쒸 롤하는 계정
UC1aBdmKvC6yAiq4xgPLOzKA,롤체고찌 [롤체하는 다마고찌]
UCQfyXI4XeO6swi9lYsgevVA,롤고트
UC2fkbnLS7JVDy7wJpkFuzVw,롤알못
UCJ-bYGTmv_1beVAuh9rUo8g,롤토크
UCmZthR5qZga3pxKtQoyy76A,바밤바 롤 유튜브
UChS6sbPATU2CRaqwMyrSIIQ,롤에 오염된 가족
UCxZ1kTp7f-5u8o2p7qreVnw,롤소식갤러리
