video_id,reason
KyebU1-jld4,list_error: '_TranslationLanguage' object is not subscriptable
TsaA-sAszFM,video_unavailable
Cm4k0uN1vDY,video_unavailable
1LvRUGhgkHo,list_error: '_TranslationLanguage' object is not subscriptable
G0C2kdCvZt0,video_unavailable
bRLNR1vYOjA,list_error: '_TranslationLanguage' object is not subscriptable
YdggkTao4b4,list_error: '_TranslationLanguage' object is not subscriptable
Lgkhz8CKQxQ,list_error: '_TranslationLanguage' object is not subscriptable
pGVpm7LaSNA,video_unavailable
WgpscGEdiaQ,video_unavailable
VczxbxWzU-I,list_error: '_TranslationLanguage' object is not subscriptable
tkMHNZ81jxI,list_error: '_TranslationLanguage' object is not subscriptable
v4kKsf6G2GU,list_error: '_TranslationLanguage' object is not subscriptable
mQdHwVzodac,video_unavailable
6aFfq96wv0o,list_error: '_TranslationLanguage' object is not subscriptable
pNYEHu10Cuk,video_unavailable
8OA0bsBbRNQ,video_unavailable
mPV6SDp8fqo,list_error: '_TranslationLanguage' object is not subscriptable
MfSYccywekw,video_unavailable
7nfMbTV7ZWk,video_unavailable
PTZU_L0gw_I,video_unavailable
4A7jsbHj1zE,video_unavailable
aTQlHAZ2TLg,list_error: '_TranslationLanguage' object is not subscriptable
qAHJs56F8Kk,list_error: '_TranslationLanguage' object is not subscriptable
AOX2P1tol0c,list_error: '_TranslationLanguage' object is not subscriptable
gcLecCgp0FQ,video_unavailable
CRCdo9Nwv1c,video_unavailable
5_2dVVgOKPk,video_unavailable
HpuolXTUHXE,video_unavailable
ASsQydiPH5s,video_unavailable
G5fnKiiUynA,list_error: '_TranslationLanguage' object is not subscriptable
UYVLZhmALAE,list_error: '_TranslationLanguage' object is not subscriptable
tRDxnPhpn14,list_error: '_TranslationLanguage' object is not subscriptable
pe0xsZn3-tw,video_unavailable
0CxT9PKh_HY,video_unavailable
41HgtdddX1k,video_unavailable
YCRuV69HbqU,video_unavailable
cDBi8XzmtAQ,list_error: '_TranslationLanguage' object is not subscriptable
6sMdBJ46aVY,video_unavailable
4QxGfRr3Ods,list_error: '_TranslationLanguage' object is not subscriptable
KBwPns5No60,list_error: '_TranslationLanguage' object is not subscriptable
