영상ID,영상제목,영상설명,게시일,태그,카테고리,썸네일,조회수,좋아요,영상길이(초),자막여부,구독자 수,채널 총 조회수,업로드된 영상 수,자막 유형,자막 파일
zOBChXBA4dw,신작 생존 오픈월드 게임ㅣ듄 : 어웨이크닝 (광고),"#듄어웨이크닝 #duneawakening #dune #game #방송 #생방송 #게임 #오픈월드 #신작 #gta6  #똥게임 #종합게임 #신작게임 #게임방송 

https://reurl.cc/4LYlOY
Naver cafe:  https://cafe.naver.com/duneawakeningkr
X: https://x.com/duneofficial_kr?s=21&t=FSodPEWKx13Ak9hOSCap6g

후원 : 유튜브 or 투네이션
https://toon.at/donate/637659949284028605 (투네이션)

생방송 일정 (유튜브, 치지직)
매주 목, 금 저녁 9시30분

네이버 까페 : https://cafe.naver.com/banamongki

재밌고 도움되는 게임 영상!!
BanaMongki 바나몽키

시청해주셔서 감사합니다!!
""구독"" 과 ""좋아요"" 부탁드립니다!!

앞으로도 재밌는 게임영상들 많이 올려드리겠습니다.",2025-05-09T18:18:22Z,"방송, 레데리2, 바나몽키, 오픈월드, 좀비, 게임, game",20,https://i.ytimg.com/vi/zOBChXBA4dw/hqdefault.jpg,2021,41,18986.0,false,113000,46124121,1966,transcript_api,captions\zOBChXBA4dw.txt
FdgxKopDbhs,진짜 큰일났습니다. 숲에서 혼자 요괴 잡는 게임..중독성 미쳤네요; (※시간 순삭),"무림의 고수 박영식
[업로드] 금,토,일,월 
[문의메일] zxcv34276@gmail.com
[인스타그램] @hxxax_
#혜안 #뱀파이어서바이벌
[브금대통령]
Track : 내 꿈은 말이지 - https://youtu.be/8US4NF1bzlE
Track : 맛있는 상상 - https://youtu.be/6FD08T-KVRc
Track : 펭귄의 비행 - https://youtu.be/ZW_msPN4GJw
Track : Dawn Of Victory - https://youtu.be/7p7XwWT9uKM",2025-04-28T10:38:24Z,"혜안, 뱀파이어서바이벌",20,https://i.ytimg.com/vi/FdgxKopDbhs/hqdefault.jpg,424957,5398,2829.0,false,2720000,2015966883,1707,transcript_api,captions\FdgxKopDbhs.txt
arrjjGob-vI,※38분 순삭※ 혜안져스 대환장 R.E.P.O. 공포게임🤫ㅋㅋㅋㅋㅋㅋ,"이게임재밌다
[업로드] 금,토,일,월 
[문의메일] zxcv34276@gmail.com
[인스타그램] @hxxax_
#혜안 #REFO #공포게임
[브금대통령]
Track : 수사 반장 – https://youtu.be/wkXKGV9qJ6Y
Track : 먹을까 말까 – https://youtu.be/CCiOwpoB9r8
Track : Grumpy Cat – https://youtu.be/dVtWRSVQ7x0
Track : I Wanna be a Rockstar - https://youtu.be/HC-ODkmRzfc
Track : 뉘예뉘예 - https://youtu.be/r0zC62qBm_w
Track : 병아리는 삐약삐약 - https://youtu.be/ZNajc-kQ8zE
Track : 사짜 - https://youtu.be/NV3ofuKlCAM
Track : 웃기고있네 - https://youtu.be/aY7VLF71pNM
Track : 조별과제 – https://youtu.be/wLuWmPrJkSk
[브금술사]
Track : 조심 좀 하지 그랬어 - https://youtu.be/JINIlUeQSoo
[브금공방]
코믹 12 - https://youtu.be/hR15XjJNJw8
[아지쏭]
Track : Mamma mamma - https://youtu.be/-HQbaNFmIG8
[さりい bgm]
Track : おばけ会議 - https://youtu.be/5CPmSY4H3Mo?si=k49m_kqer0v8PHxQ
Track : jump - https://youtu.be/UZ2_aPXDWkY?si=mgrXfS5a9ZzswYBG
장현조 – 숨바꼭질2",2025-04-12T10:14:00Z,혜안,20,https://i.ytimg.com/vi/arrjjGob-vI/hqdefault.jpg,652321,14053,2317.0,false,2720000,2015966883,1707,transcript_api,captions\arrjjGob-vI.txt
tIuTFVR8bWY,별장으로 힐링을 하러 갔다가 벌어진 충격적인 사건 (공포게임/The Stalked 2),"#공포게임 #산장 #갑툭튀
▼게임 다운로드 주소는 아래에 있습니다▼
※게임제목 : The Stalked 2
※다운로드링크 : https://store.steampowered.com/app/2976490/The_Stalked_2/
※한글패치 링크 : 
----------
※아프리카TV 방송국: https://goo.gl/36YQW7
※구독하기 : https://goo.gl/hmGy4i
----------
아웃트로 노래
제목 : 똑똑
제작자 : 스미드
https://www.youtube.com/watch?v=cQ-_G2uUw48",2025-04-10T13:20:50Z,"수탉, 수탉tv, 공포, 공포게임, 실황, 신작, 게임",20,https://i.ytimg.com/vi/tIuTFVR8bWY/hqdefault.jpg,201016,2968,1898.0,false,961000,654855265,1844,,
G_Uq1AgNeQI,피자애호가가 피자창업의 꿈을 접게 만든 게임│좋은피자 위대한피자,"📺 원본 풀 영상
https://youtube.com/live/V6GzUAXp3lk?feature=share

🔖 해시태그
#진돌 #이긴돌 #게임 #좋피위피 #좋은피자위대한피자 #피자

🧑🏻‍💻 편집 / 섬네일

🎁 진돌 굿즈 직영샵
https://doldistudio.com

-----------------------------------------
Track : Une Petite Dispute
Music by 브금대통령
Music provided by 브금대통령
Watch : https://www.youtube.com/watch?v=NWITLjXsBj4",2025-04-24T09:00:33Z,,20,https://i.ytimg.com/vi/G_Uq1AgNeQI/hqdefault.jpg,114732,1988,1300.0,false,23300,574978,18,transcript_api,captions\G_Uq1AgNeQI.txt
Y68VR7Y_Wms,CCTV를 보며 감시하는 신작 고퀄리티 공포게임 (SEEING THINGS),"#공포게임 #CCTV #감시 
▼게임 다운로드 주소는 아래에 있습니다▼
※게임제목 : 
1. SEEING THINGS
2. Silent Anomalies
※다운로드링크 : 
1. https://store.steampowered.com/app/2636340/SEEING_THINGS/
2. https://store.steampowered.com/app/3345760/Silent_Anomalies/
※한글패치 링크 : 
----------
※아프리카TV 방송국: https://goo.gl/36YQW7
※구독하기 : https://goo.gl/hmGy4i
----------
아웃트로 노래
제목 : 똑똑
제작자 : 스미드
https://www.youtube.com/watch?v=cQ-_G2uUw48",2025-04-20T12:30:36Z,"수탉, 수탉tv, 공포, 공포게임, 실황, 신작, 게임",20,https://i.ytimg.com/vi/Y68VR7Y_Wms/hqdefault.jpg,213025,2500,9635.0,false,961000,654855265,1844,,
zgEc87VUfl4,[로블록스] 스트레스 풀기 가장 좋다는 게임을 해봤어요!! - 민또 경또 -,"✅민또 경또 구독하기 : https://www.youtube.com/channel/UCCW6uYIUP4YKKe50k-ktVAw?view_as=subscriber
☑️Voxel Destruction Physics 게임하기 : https://www.roblox.com/games/11594344738
💥로블록스 재밌는 게임들 시리즈 : https://www.youtube.com/playlist?list=PL-AahvgqNuE6aj6dKgJob4mSPvodivSWL

#Roblox #로블록스 #민또경또",2023-08-14T07:30:28Z,"로블록스 무료 아이템, 로블록스 배드워즈, 로블록스 재밌는 게임, 로블록스 슬랩 배틀, 로블록스 킹피스, 로블록스 게임 추천, 로블록스 스키비디 토일렛, 로블록스 로벅스 무료로 얻는법, 로블록스 공포게임, 로블록스 입양하세요, 로블록스 체인소맨, 로블록스 도어즈, 로블록스 로그데몬, 로블록스 아일랜드, 로블록스 유튜브 민또 경또, 로블록스 상황극, 로블록스 시뮬레이터, 로블록스 타이쿤, 로블록스 탈출 점프맵, 로블록스 추천게임 인기게임, Roblox Tycoon, Roblox Robux, Roblox Skibi Toilet, roblox rainbow friends, 로블록스 레인보우 프렌즈, Roblox Grimace Shake, 로블록스 그리메이스 쉐이크, Roblox Grimace Shake Story, Roblox Voxel Destruction Physics, 로블록스 보셀 파괴 물리학, 로블록스 반반의 유치원 챕터4",20,https://i.ytimg.com/vi/zgEc87VUfl4/hqdefault.jpg,1007430,2604,1375.0,false,605000,878459762,1668,transcript_api,captions\zgEc87VUfl4.txt
-lfmxcb0lI4,1980년 텍사스 배경의 좀비 아포칼립스 생존게임 (인투 더 데드),"#좀비 #아포칼립스 #생존 
▼게임 다운로드 주소는 아래에 있습니다▼
※게임제목 : Into the Dead: Our Darkest Days / 인투 더 데드
※다운로드링크 : https://store.steampowered.com/app/2239710/Into_the_Dead_Our_Darkest_Days/
※한글패치 링크 : 
----------
※아프리카TV 방송국: https://goo.gl/36YQW7
※구독하기 : https://goo.gl/hmGy4i
----------
아웃트로 노래
제목 : 똑똑
제작자 : 스미드
https://www.youtube.com/watch?v=cQ-_G2uUw48",2025-05-02T14:04:12Z,"수탉, 수탉tv, 공포, 공포게임, 실황, 신작, 게임",20,https://i.ytimg.com/vi/-lfmxcb0lI4/hqdefault.jpg,504440,6006,17564.0,false,961000,654855265,1844,transcript_api,captions\-lfmxcb0lI4.txt
WKH2PkTPvzY,[25-05-09] 라이브🔴룰렛 쥰내 돌리는 게임『클로버핏』,"#개구리 #생방송 #종합게임

[개구리 생방송]

구독 좋아요 한번씩 부탁드립니다!

ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ
도네이션 : https://toon.at/donate/gaegooli_

개구리군 디스코드 (CLUP) :  https://discord.gg/u7ufQKtCFy

[채팅 규칙]
일 기 장 :x:
방송과 관련없는 말 :x:
기분나쁜말 :x:
존댓말로 채팅쳐주세요
타 스트리머 언급 :x: (CLUP은 언급 :o:)
욕설, 도배, 강요, 과몰입, 뇌절, 언팔 협박 :x:
클립 제목 붙이기! (제목 없으면 삭제해요!)
시청자간 언급, 친목 :x:


ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ",2025-05-10T01:40:49Z,,20,https://i.ytimg.com/vi/WKH2PkTPvzY/hqdefault.jpg,13,1,2850.0,false,12000,21003380,1012,,
1Pa41IXWVM0,불길한 집을 깨끗하게 수리하는 공포게임 (Creepy Shift: House For Sale),"#공포게임 #신작 #반전 
▼게임 다운로드 주소는 아래에 있습니다▼
※게임제목 : Creepy Shift: House For Sale
※다운로드링크 : https://store.steampowered.com/app/3400650/Creepy_Shift_House_For_Sale/
※한글패치 링크 : 
----------
※아프리카TV 방송국: https://goo.gl/36YQW7
※구독하기 : https://goo.gl/hmGy4i
----------
아웃트로 노래
제목 : 똑똑
제작자 : 스미드
https://www.youtube.com/watch?v=cQ-_G2uUw48",2025-04-16T12:50:39Z,"수탉, 수탉tv, 공포, 공포게임, 실황, 신작, 게임",20,https://i.ytimg.com/vi/1Pa41IXWVM0/hqdefault.jpg,275088,3418,5248.0,false,961000,654855265,1844,transcript_api,captions\1Pa41IXWVM0.txt
