영상 ID,군집 번호,조회수
-bMep32lHVI,1,313536.0
-cEBuwF9QEA,2,1774968.0
-ico5LMydG0,2,165339.0
-lfmxcb0lI4,2,462844.0
06UG3NwL5IA,2,166436.0
0jnnkY57EKc,2,1239896.0
0Q8F5HrEWw8,2,457936.0
1az_TSb6kU0,1,620390.0
1jp9qgJ7_3M,2,97066.0
1Pa41IXWVM0,2,271757.0
1pQGh1Hes5Y,2,1058247.0
1t_c_OlVET0,2,915447.0
2JMhyB7IJDQ,2,656389.0
3-Mebc8ixpY,1,239501.0
3wJWgqaIO9o,2,937322.0
4-S2mNio9jQ,1,1770815.0
46oTRe7RFVM,1,1143812.0
4EGG7ZBhk5c,1,1503158.0
4HvF0Okbzko,2,
4mLCCC1cbqM,2,330966.0
5t-B2uSuPq4,1,886304.0
75TMHmzzSwo,2,252634.0
78jVhTmbsrg,2,100562.0
7ABLKBZ2hhk,1,7892.0
7cvJL7R9o7o,2,837423.0
7hnlrjv5CWY,2,2586831.0
7kLqaEI2s3Y,2,509048.0
7uCuDHVN890,1,458636.0
8Cvj3NFZ7qo,2,1025166.0
8dM44QiNnnU,2,768119.0
8rokp8QkD9M,2,702385.0
9MgCme2wGCs,2,223442.0
9vzijwGnxAU,2,216048.0
9_UYbCpSL6w,1,11184.0
aCIunBf8BZM,1,2300494.0
aHp9I0HHIjo,2,1173012.0
AhZQf8t8HDA,1,148011.0
arrjjGob-vI,2,639674.0
aSBZU3RQSQM,2,447390.0
b2VOjKk7Ei0,1,730696.0
B509G_7TWNM,2,2006886.0
BAK8HD_IcrQ,2,1452736.0
BQTx3mf32Fg,1,627495.0
c5Ee06m8Uhs,2,452612.0
C9D84LQ2Mac,2,329871.0
CAQMKSWpFfs,2,573260.0
cExWz20vsME,2,1893787.0
CHPQh1E1b00,1,232049.0
cmdZq7Pu9MU,1,343121.0
d6vfqIn4YMc,2,2031249.0
DhwH2vV6Nr0,1,13118.0
dlXQe6-izJU,2,645223.0
dRsOAM8SMs8,1,181186.0
DW6R70iDuOQ,2,2052270.0
DX5yEEVc0BQ,1,41541.0
