제목,영상 ID,업로드 날짜,썸네일 URL,영상 길이,조회수,자막 파일
※38분 순삭※ 혜안져스 대환장 R.E.P.O. 공포게임🤫ㅋㅋㅋㅋㅋㅋ,arrjjGob-vI,2025-04-12T10:14:00Z,https://i.ytimg.com/vi/arrjjGob-vI/hqdefault.jpg,0:38:37,639674,captions\arrjjGob-vI.txt
[로블록스] 스트레스 풀기 가장 좋다는 게임을 해봤어요!! - 민또 경또 -,zgEc87VUfl4,2023-08-14T07:30:28Z,https://i.ytimg.com/vi/zgEc87VUfl4/hqdefault.jpg,0:22:55,1005372,captions\zgEc87VUfl4.txt
피자애호가가 피자창업의 꿈을 접게 만든 게임│좋은피자 위대한피자,G_Uq1AgNeQI,2025-04-24T09:00:33Z,https://i.ytimg.com/vi/G_Uq1AgNeQI/hqdefault.jpg,0:21:40,110879,captions\G_Uq1AgNeQI.txt
CCTV를 보며 감시하는 신작 고퀄리티 공포게임 (SEEING THINGS),Y68VR7Y_Wms,2025-04-20T12:30:36Z,https://i.ytimg.com/vi/Y68VR7Y_Wms/hqdefault.jpg,2:40:35,210053,captions\Y68VR7Y_Wms.txt
오늘 미션 실패 하면 무인도로 갑니다..,Lt42BNFd0S0,2025-05-07T12:43:36Z,https://i.ytimg.com/vi/Lt42BNFd0S0/hqdefault.jpg,0:39:06,61121,captions\Lt42BNFd0S0.txt
1980년 텍사스 배경의 좀비 아포칼립스 생존게임 (인투 더 데드),-lfmxcb0lI4,2025-05-02T14:04:12Z,https://i.ytimg.com/vi/-lfmxcb0lI4/hqdefault.jpg,4:52:44,462844,captions\-lfmxcb0lI4.txt
이 마술쇼는 진짜 기괴합니다 (러스티 레이크 10주년 게임),YY2fRFxb3V0,2025-05-05T03:00:38Z,https://i.ytimg.com/vi/YY2fRFxb3V0/hqdefault.jpg,1:21:57,84943,captions\YY2fRFxb3V0.txt
별장으로 힐링을 하러 갔다가 벌어진 충격적인 사건 (공포게임/The Stalked 2),tIuTFVR8bWY,2025-04-10T13:20:50Z,https://i.ytimg.com/vi/tIuTFVR8bWY/hqdefault.jpg,0:31:38,199993,
게임 브금 월드컵🥇나의 틀취향이 많이 첨가된...,tBIW52vBMkw,2025-05-05T17:19:56Z,https://i.ytimg.com/vi/tBIW52vBMkw/hqdefault.jpg,5:26:58,342,
진짜 큰일났습니다. 숲에서 혼자 요괴 잡는 게임..중독성 미쳤네요; (※시간 순삭),FdgxKopDbhs,2025-04-28T10:38:24Z,https://i.ytimg.com/vi/FdgxKopDbhs/hqdefault.jpg,0:47:09,414137,captions\FdgxKopDbhs.txt
멈추지 않는 스팀할인!! 스팀 가성비 게임 대방출!! 최대 85%할인!! (5월 6일),7ABLKBZ2hhk,2025-05-06T03:09:11Z,https://i.ytimg.com/vi/7ABLKBZ2hhk/hqdefault.jpg,0:22:07,7892,
더러운 방귀쟁이 교도관이 쫓아온다 ㅋㅋㅋㅋ 대형 감옥 탈출하기 !! 버섯도리 로블록스,pe0lSFOXNPQ,2022-03-22T07:00:25Z,https://i.ytimg.com/vi/pe0lSFOXNPQ/hqdefault.jpg,0:21:28,5014451,captions\pe0lSFOXNPQ.txt
"리뷰 133개중 132개가 극찬인 ""두부게임"" 다운 받아봤습니다",iBUwDe_s-aQ,2024-10-21T10:39:02Z,https://i.ytimg.com/vi/iBUwDe_s-aQ/hqdefault.jpg,0:35:08,1378886,captions\iBUwDe_s-aQ.txt
쓰레기 버리는 게임을 660원 주고 사봤다,un0HUccp3E0,2025-02-04T02:30:39Z,https://i.ytimg.com/vi/un0HUccp3E0/hqdefault.jpg,0:28:56,622260,captions\un0HUccp3E0.txt
[로블록스] 더 재밌어진 오징어 게임2에 참가하세요!! 오징어 게임2 모음!! - 민또 경또 -,zmxvvFgZtY0,2025-02-07T09:01:16Z,https://i.ytimg.com/vi/zmxvvFgZtY0/hqdefault.jpg,1:17:03,115753,captions\zmxvvFgZtY0.txt
